Topic,Question,BT Level
equals and hashCode,Distinguish between correct and incorrect uses of equals and hashCode in Java with analysis.,Analyze
Enum,Create a new Java class hierarchy that demonstrates Enum.,Create
Nested Classes,Evaluate the trade-offs involved in using Nested Classes in Java.,Evaluate
Dynamic Binding,Design a Java program using Dynamic Binding to model a real-life entity.,Create
Constructors,Construct a Java program that combines Constructors with exception handling to build a robust solution.,Create
Strings,Explain the concept of Strings in Java with an example.,Understand
Deque,Construct a Java program that applies Deque to process data.,Apply
File Handling,Demonstrate the use of File Handling through a Java program.,Apply
Object Class,Critically assess the advantages and limitations of Object Class in Java.,Evaluate
Iterator,Classify the different forms of Iterator in Java and explain each.,Understand
Math Class,Investigate the common errors that occur while using Math Class in Java.,Analyze
Scanner Class,What are the components of Scanner Class in Java?,Remember
File Handling,Summarize the role of File Handling in Java programming.,Understand
Constructor Overloading,Create a Java application that uses Constructor Overloading to manage data for a small system.,Create
Object Class,Propose and implement an original Java solution using Object Class.,Create
Date and Time API,Show how Date and Time API can be used in a Java program to perform a task.,Apply
HashSet,"Determine whether HashSet improves or harms the efficiency of a Java program, and justify.",Evaluate
Switch Statement,Implement Switch Statement in Java with a working code example.,Apply
Java I/O,Why is Java I/O used in Java? Explain.,Understand
equals and hashCode,Analyze why a Java program using equals and hashCode may produce unexpected results.,Analyze
Singleton Class,Evaluate the correctness and quality of a Java solution that uses Singleton Class.,Evaluate
Throw and Throws,Critique a design decision that relies on Throw and Throws in Java.,Evaluate
BufferedReader,What is BufferedReader in Java?,Remember
Anonymous Classes,Differentiate between Anonymous Classes and a related concept in Java.,Understand
ArrayList,Recall the default value associated with ArrayList in Java.,Remember
Annotations,Mention the purpose of Annotations in Java.,Remember
Try-Catch-Finally,Mention the purpose of Try-Catch-Finally in Java.,Remember
equals and hashCode,Write a Java code snippet that makes use of equals and hashCode.,Apply
toString Method,Recall the default value associated with toString Method in Java.,Remember
File Handling,Write the general form of File Handling in Java.,Remember
Multidimensional Arrays,Develop a Java program that uses Multidimensional Arrays to handle a given scenario.,Apply
Command Line Arguments,Compare Command Line Arguments with a related concept in Java and analyze the differences.,Analyze
Static Binding,Develop a complete Java application that uses Static Binding along with other concepts.,Create
JVM Architecture,State two characteristics of JVM Architecture in Java.,Remember
toString Method,Define toString Method in Java.,Remember
Classes and Objects,Identify the keyword used for Classes and Objects in Java.,Remember
Vector,Compare Vector with a related concept in Java and analyze the differences.,Analyze
ClassLoaderBasics,Explain how ClassLoaderBasics differs from its alternatives in Java.,Understand
Composition,Implement Composition in Java with a working code example.,Apply
Data Types,Explain the concept of Data Types in Java with an example.,Understand
Java Memory Model,Analyze the time complexity of operations involving Java Memory Model in Java.,Analyze
Iterator,Create a new Java class hierarchy that demonstrates Iterator.,Create
Association,Evaluate two different approaches to implementing Association in Java and recommend one.,Evaluate
Has-A Relationship,Discuss the significance of Has-A Relationship in Java.,Understand
Date and Time API,Write and execute a Java program illustrating Date and Time API.,Apply
Functional Interfaces,"Recommend, with justification, when Functional Interfaces should be used in Java.",Evaluate
Jagged Arrays,Explain how Jagged Arrays differs from its alternatives in Java.,Understand
Labeled Loops,"Recommend, with justification, when Labeled Loops should be used in Java.",Evaluate
Is-A Relationship,Critique a design decision that relies on Is-A Relationship in Java.,Evaluate
Operators,Write a Java code snippet that makes use of Operators.,Apply
Custom Exceptions,Summarize the role of Custom Exceptions in Java programming.,Understand
HashSet,Critically assess the advantages and limitations of HashSet in Java.,Evaluate
JVM Architecture,Evaluate two different approaches to implementing JVM Architecture in Java and recommend one.,Evaluate
String Buffer and Builder,Explain the working of String Buffer and Builder in Java in your own words.,Understand
Regular Expressions,Give reasons why Regular Expressions is important in Java.,Understand
Thread Synchronization,Identify the keyword used for Thread Synchronization in Java.,Remember
Packages,Break down the working of Packages in Java and analyze each step.,Analyze
Dynamic Binding,Distinguish between correct and incorrect uses of Dynamic Binding in Java with analysis.,Analyze
BufferedReader,Judge the suitability of BufferedReader for a large-scale Java project.,Evaluate
Method Overriding,Name the types of Method Overriding available in Java.,Remember
Control Statements,Describe how Control Statements works in Java.,Understand
this Keyword,Write a Java code snippet that makes use of this Keyword.,Apply
Throw and Throws,Devise a Java program that uses Throw and Throws to implement a custom feature.,Create
equals and hashCode,"Recommend, with justification, when equals and hashCode should be used in Java.",Evaluate
Thread Synchronization,Implement Thread Synchronization in Java with a working code example.,Apply
Var-args,Construct a Java program that applies Var-args to process data.,Apply
Var-args,Create a Java application that uses Var-args to manage data for a small system.,Create
Multithreading,Critique a design decision that relies on Multithreading in Java.,Evaluate
Annotations,Explain how Annotations differs from its alternatives in Java.,Understand
Annotations,Examine the relationship between Annotations and memory usage in Java.,Analyze
toString Method,Analyze how toString Method interacts with other features of Java.,Analyze
Control Statements,Analyze how Control Statements interacts with other features of Java.,Analyze
Abstract Classes,What are the components of Abstract Classes in Java?,Remember
Recursion,Propose and implement an original Java solution using Recursion.,Create
Marker Interface,Mention the purpose of Marker Interface in Java.,Remember
Packages,Analyze the time complexity of operations involving Packages in Java.,Analyze
Type Casting,Explain the advantages of using Type Casting in Java.,Understand
Enhanced For Loop,Examine the relationship between Enhanced For Loop and memory usage in Java.,Analyze
Polymorphism,Write and execute a Java program illustrating Polymorphism.,Apply
Strings,Formulate a Java mini-project that showcases Strings.,Create
Default Methods,Give reasons why Default Methods is important in Java.,Understand
String Pool,Name the types of String Pool available in Java.,Remember
Command Line Arguments,Evaluate the trade-offs involved in using Command Line Arguments in Java.,Evaluate
Throw and Throws,Explain how Throw and Throws differs from its alternatives in Java.,Understand
HashMap,Construct a Java program that combines HashMap with exception handling to build a robust solution.,Create
Custom Exceptions,Name the types of Custom Exceptions available in Java.,Remember
Access Modifiers,Analyze why a Java program using Access Modifiers may produce unexpected results.,Analyze
Byte Streams,Critique a design decision that relies on Byte Streams in Java.,Evaluate
Immutable Class,Explain the working of Immutable Class in Java in your own words.,Understand
TreeMap,What are the components of TreeMap in Java?,Remember
Custom Exceptions,Investigate the common errors that occur while using Custom Exceptions in Java.,Analyze
Vector,Construct a Java program that applies Vector to process data.,Apply
Static Keyword,Write the general form of Static Keyword in Java.,Remember
Marker Interface,Develop an innovative Java program that extends the usual use of Marker Interface.,Create
Anonymous Classes,Critically assess the advantages and limitations of Anonymous Classes in Java.,Evaluate
Strings,Mention the purpose of Strings in Java.,Remember
super Keyword,Critique a design decision that relies on super Keyword in Java.,Evaluate
Operators,Argue for or against the use of Operators in a given Java scenario.,Evaluate
StringTokenizer,Name the types of StringTokenizer available in Java.,Remember
TreeMap,Give reasons why TreeMap is important in Java.,Understand
Static Binding,Inspect a Java program using Static Binding and identify the logical flow.,Analyze
Composition,Evaluate the trade-offs involved in using Composition in Java.,Evaluate
Thread Lifecycle,List the key features of Thread Lifecycle in Java.,Remember
Marker Interface,Distinguish between correct and incorrect uses of Marker Interface in Java with analysis.,Analyze
Wrapper Classes,Justify whether Wrapper Classes is the best choice for a given Java programming problem.,Evaluate
Constructor Overloading,Develop a Java program that uses Constructor Overloading to handle a given scenario.,Apply
Stream API,Examine how Stream API affects the performance of a Java program.,Analyze
Constructor Overloading,Justify whether Constructor Overloading is the best choice for a given Java programming problem.,Evaluate
Marker Interface,"Recommend, with justification, when Marker Interface should be used in Java.",Evaluate
Control Statements,Summarize the role of Control Statements in Java programming.,Understand
Functional Interfaces,List the rules for using Functional Interfaces in Java.,Remember
Regular Expressions,Write a Java program to demonstrate Regular Expressions.,Apply
StringTokenizer,State the syntax of StringTokenizer in Java.,Remember
Object Class,Judge the suitability of Object Class for a large-scale Java project.,Evaluate
Collections Framework,Judge the suitability of Collections Framework for a large-scale Java project.,Evaluate
File Handling,Propose and implement an original Java solution using File Handling.,Create
Deque,State two characteristics of Deque in Java.,Remember
Exception Handling,Apply Exception Handling to write a Java program that takes user input and produces output.,Apply
Variables,Write the general form of Variables in Java.,Remember
StringTokenizer,What is StringTokenizer in Java?,Remember
Constructor Overloading,Apply the concept of Constructor Overloading to complete a partially written Java program.,Apply
Queue,Analyze the time complexity of operations involving Queue in Java.,Analyze
Interfaces,Distinguish between correct and incorrect uses of Interfaces in Java with analysis.,Analyze
Generics,Discuss the significance of Generics in Java.,Understand
Operators,Develop an innovative Java program that extends the usual use of Operators.,Create
ArrayList,Construct a Java program that combines ArrayList with exception handling to build a robust solution.,Create
Lambda Expressions,Assess the impact of Lambda Expressions on the maintainability of Java code.,Evaluate
Throw and Throws,Name the types of Throw and Throws available in Java.,Remember
Static Keyword,Demonstrate the use of Static Keyword through a Java program.,Apply
Method Overloading,Investigate the common errors that occur while using Method Overloading in Java.,Analyze
Constructors,Interpret the behaviour of Constructors in Java with a suitable example.,Understand
Thread Synchronization,Analyze why a Java program using Thread Synchronization may produce unexpected results.,Analyze
Custom Exceptions,Argue for or against the use of Custom Exceptions in a given Java scenario.,Evaluate
Java Memory Model,Recall the default value associated with Java Memory Model in Java.,Remember
Character Streams,Develop an innovative Java program that extends the usual use of Character Streams.,Create
super Keyword,State two characteristics of super Keyword in Java.,Remember
super Keyword,Write the general form of super Keyword in Java.,Remember
Serialization,Discuss the significance of Serialization in Java.,Understand
Interfaces,"Determine whether Interfaces improves or harms the efficiency of a Java program, and justify.",Evaluate
Ternary Operator,Construct a Java program that applies Ternary Operator to process data.,Apply
Multithreading,Compare Multithreading with a related concept in Java and analyze the differences.,Analyze
Variable Scope,Recall the default value associated with Variable Scope in Java.,Remember
Static Binding,Demonstrate the use of Static Binding through a Java program.,Apply
ClassLoaderBasics,Create a new Java class hierarchy that demonstrates ClassLoaderBasics.,Create
Serialization,Evaluate the correctness and quality of a Java solution that uses Serialization.,Evaluate
Singleton Class,Analyze how Singleton Class interacts with other features of Java.,Analyze
Annotations,Name the types of Annotations available in Java.,Remember
Annotations,Formulate a Java mini-project that showcases Annotations.,Create
Iterator,Judge the suitability of Iterator for a large-scale Java project.,Evaluate
Serialization,Explain the advantages of using Serialization in Java.,Understand
Data Types,Classify the different forms of Data Types in Java and explain each.,Understand
String Buffer and Builder,Design a Java program that integrates String Buffer and Builder to solve a real-world problem.,Create
Encapsulation,Write a Java program to demonstrate Encapsulation.,Apply
Loops,Mention the purpose of Loops in Java.,Remember
Classes and Objects,Analyze a given Java code segment using Classes and Objects and explain its behaviour.,Analyze
Composition,Give reasons why Composition is important in Java.,Understand
Object Class,Classify the different forms of Object Class in Java and explain each.,Understand
Method Overriding,Create a Java application that uses Method Overriding to manage data for a small system.,Create
equals and hashCode,Explain the advantages of using equals and hashCode in Java.,Understand
Date and Time API,Assess the impact of Date and Time API on the maintainability of Java code.,Evaluate
Lambda Expressions,Critically assess the advantages and limitations of Lambda Expressions in Java.,Evaluate
Default Methods,Demonstrate the use of Default Methods through a Java program.,Apply
TreeMap,State two characteristics of TreeMap in Java.,Remember
Classes and Objects,"Using Classes and Objects, write a program to solve a simple problem in Java.",Apply
File Handling,Analyze the time complexity of operations involving File Handling in Java.,Analyze
Arrays,Write a Java code snippet that makes use of Arrays.,Apply
toString Method,What are the components of toString Method in Java?,Remember
Scanner Class,Distinguish between correct and incorrect uses of Scanner Class in Java with analysis.,Analyze
Collections Framework,Investigate the common errors that occur while using Collections Framework in Java.,Analyze
Wrapper Classes,List the rules for using Wrapper Classes in Java.,Remember
Iterator,Apply the concept of Iterator to complete a partially written Java program.,Apply
this Keyword,Explain the concept of this Keyword in Java with an example.,Understand
Data Types,Critique a design decision that relies on Data Types in Java.,Evaluate
Method Overriding,Implement Method Overriding in Java with a working code example.,Apply
Date and Time API,Construct a Java program that applies Date and Time API to process data.,Apply
Bitwise Operators,Compare Bitwise Operators with a related concept in Java and analyze the differences.,Analyze
Regular Expressions,Distinguish between correct and incorrect uses of Regular Expressions in Java with analysis.,Analyze
Constructors,Write the general form of Constructors in Java.,Remember
Packages,Apply the concept of Packages to complete a partially written Java program.,Apply
Association,Justify whether Association is the best choice for a given Java programming problem.,Evaluate
Multithreading,Design and build a Java module that applies Multithreading effectively.,Create
Singleton Class,Evaluate the trade-offs involved in using Singleton Class in Java.,Evaluate
Annotations,Apply Annotations to write a Java program that takes user input and produces output.,Apply
Abstract Classes,Mention the purpose of Abstract Classes in Java.,Remember
Stream API,Explain how Stream API differs from its alternatives in Java.,Understand
Wrapper Classes,Analyze the output of a Java program that uses Wrapper Classes.,Analyze
toString Method,List the key features of toString Method in Java.,Remember
BufferedReader,"Recommend, with justification, when BufferedReader should be used in Java.",Evaluate
Static Keyword,Justify whether Static Keyword is the best choice for a given Java programming problem.,Evaluate
Serialization,Evaluate two different approaches to implementing Serialization in Java and recommend one.,Evaluate
HashMap,Build a Java solution that uses HashMap and explain your design choices.,Create
ArrayList,Demonstrate the use of ArrayList through a Java program.,Apply
super Keyword,Demonstrate the use of super Keyword through a Java program.,Apply
Inner Classes,Apply the concept of Inner Classes to complete a partially written Java program.,Apply
Classes and Objects,Analyze how Classes and Objects interacts with other features of Java.,Analyze
Generics,Evaluate the correctness and quality of a Java solution that uses Generics.,Evaluate
Math Class,Evaluate the effectiveness of using Math Class in a Java application.,Evaluate
Inheritance,Investigate the common errors that occur while using Inheritance in Java.,Analyze
Data Types,State two characteristics of Data Types in Java.,Remember
BufferedReader,Analyze a given Java code segment using BufferedReader and explain its behaviour.,Analyze
toString Method,Devise a Java program that uses toString Method to implement a custom feature.,Create
Character Streams,Construct a Java program that applies Character Streams to process data.,Apply
Math Class,Argue for or against the use of Math Class in a given Java scenario.,Evaluate
Regular Expressions,What is Regular Expressions in Java?,Remember
Jagged Arrays,Summarize the role of Jagged Arrays in Java programming.,Understand
Operators,Apply the concept of Operators to complete a partially written Java program.,Apply
Constructors,Critique a design decision that relies on Constructors in Java.,Evaluate
Anonymous Classes,List the rules for using Anonymous Classes in Java.,Remember
Composition,List the rules for using Composition in Java.,Remember
Static Keyword,Inspect a Java program using Static Keyword and identify the logical flow.,Analyze
Static Keyword,"Determine whether Static Keyword improves or harms the efficiency of a Java program, and justify.",Evaluate
Method Overriding,Identify the keyword used for Method Overriding in Java.,Remember
equals and hashCode,Compare equals and hashCode with a related concept in Java and analyze the differences.,Analyze
Final Keyword,Name the types of Final Keyword available in Java.,Remember
Runnable Interface,Create a Java application that uses Runnable Interface to manage data for a small system.,Create
Method Overriding,Design and build a Java module that applies Method Overriding effectively.,Create
Immutable Class,Why is Immutable Class used in Java? Explain.,Understand
Classes and Objects,Judge the suitability of Classes and Objects for a large-scale Java project.,Evaluate
super Keyword,Analyze a given Java code segment using super Keyword and explain its behaviour.,Analyze
Command Line Arguments,State the syntax of Command Line Arguments in Java.,Remember
Iterator,Write the general form of Iterator in Java.,Remember
Iterator,Recall the default value associated with Iterator in Java.,Remember
Bytecode,Name the types of Bytecode available in Java.,Remember
Constructors,Give reasons why Constructors is important in Java.,Understand
Queue,Critique a design decision that relies on Queue in Java.,Evaluate
Variables,Construct a Java program that applies Variables to process data.,Apply
Aggregation,State the syntax of Aggregation in Java.,Remember
Is-A Relationship,Investigate the common errors that occur while using Is-A Relationship in Java.,Analyze
String Pool,Investigate the common errors that occur while using String Pool in Java.,Analyze
Static Keyword,Explain the concept of Static Keyword in Java with an example.,Understand
Serialization,Develop a Java program that uses Serialization to handle a given scenario.,Apply
Scanner Class,Evaluate the effectiveness of using Scanner Class in a Java application.,Evaluate
StringTokenizer,Inspect a Java program using StringTokenizer and identify the logical flow.,Analyze
Loops,State the syntax of Loops in Java.,Remember
Enum,Define Enum in Java.,Remember
Var-args,Develop a complete Java application that uses Var-args along with other concepts.,Create
Object Class,Analyze a given Java code segment using Object Class and explain its behaviour.,Analyze
toString Method,Explain the advantages of using toString Method in Java.,Understand
Command Line Arguments,Use Command Line Arguments to implement a small Java application.,Apply
File Handling,Investigate the common errors that occur while using File Handling in Java.,Analyze
Data Types,Differentiate between Data Types and a related concept in Java.,Understand
Immutable Class,Compare Immutable Class with a related concept in Java and analyze the differences.,Analyze
String Buffer and Builder,Mention the purpose of String Buffer and Builder in Java.,Remember
Interfaces,Apply the concept of Interfaces to complete a partially written Java program.,Apply
Interfaces,Differentiate between Interfaces and a related concept in Java.,Understand
JVM Architecture,Why is JVM Architecture used in Java? Explain.,Understand
Has-A Relationship,"Recommend, with justification, when Has-A Relationship should be used in Java.",Evaluate
Stack,Give reasons why Stack is important in Java.,Understand
Character Streams,Recall the default value associated with Character Streams in Java.,Remember
Bytecode,Use Bytecode to implement a small Java application.,Apply
Switch Statement,Demonstrate the use of Switch Statement through a Java program.,Apply
Iterator,Implement Iterator in Java with a working code example.,Apply
String Buffer and Builder,List the rules for using String Buffer and Builder in Java.,Remember
File Handling,Justify whether File Handling is the best choice for a given Java programming problem.,Evaluate
Static Keyword,Discuss the significance of Static Keyword in Java.,Understand
Custom Exceptions,Define Custom Exceptions in Java.,Remember
Anonymous Classes,Argue for or against the use of Anonymous Classes in a given Java scenario.,Evaluate
Inner Classes,List the rules for using Inner Classes in Java.,Remember
Deque,Explain how Deque differs from its alternatives in Java.,Understand
Variable Scope,Why is Variable Scope used in Java? Explain.,Understand
Loops,Construct a Java program that combines Loops with exception handling to build a robust solution.,Create
Variables,"Determine whether Variables improves or harms the efficiency of a Java program, and justify.",Evaluate
Static Binding,"Recommend, with justification, when Static Binding should be used in Java.",Evaluate
Inheritance,Evaluate the correctness and quality of a Java solution that uses Inheritance.,Evaluate
toString Method,Implement toString Method in Java with a working code example.,Apply
Enum,Critically assess the advantages and limitations of Enum in Java.,Evaluate
Recursion,Describe how Recursion works in Java.,Understand
Abstract Classes,Show how Abstract Classes can be used in a Java program to perform a task.,Apply
Packages,Analyze why a Java program using Packages may produce unexpected results.,Analyze
Autoboxing,State two characteristics of Autoboxing in Java.,Remember
LinkedList,Judge the suitability of LinkedList for a large-scale Java project.,Evaluate
Recursion,Show how Recursion can be used in a Java program to perform a task.,Apply
StringTokenizer,Design and build a Java module that applies StringTokenizer effectively.,Create
Variables,Explain the concept of Variables in Java with an example.,Understand
Byte Streams,Classify the different forms of Byte Streams in Java and explain each.,Understand
Throw and Throws,Evaluate two different approaches to implementing Throw and Throws in Java and recommend one.,Evaluate
Immutable Class,Recall the default value associated with Immutable Class in Java.,Remember
String Buffer and Builder,Explain the concept of String Buffer and Builder in Java with an example.,Understand
Runnable Interface,Critique a design decision that relies on Runnable Interface in Java.,Evaluate
Static Binding,Analyze the output of a Java program that uses Static Binding.,Analyze
Stack,Analyze a given Java code segment using Stack and explain its behaviour.,Analyze
this Keyword,Judge the suitability of this Keyword for a large-scale Java project.,Evaluate
JVM Architecture,Create a Java application that uses JVM Architecture to manage data for a small system.,Create
TreeMap,Develop a Java program that uses TreeMap to handle a given scenario.,Apply
Singleton Class,Define Singleton Class in Java.,Remember
Anonymous Classes,Analyze why a Java program using Anonymous Classes may produce unexpected results.,Analyze
LinkedList,Create a new Java class hierarchy that demonstrates LinkedList.,Create
Loops,Define Loops in Java.,Remember
Inheritance,List the rules for using Inheritance in Java.,Remember
StringTokenizer,Evaluate the correctness and quality of a Java solution that uses StringTokenizer.,Evaluate
Thread Lifecycle,What are the components of Thread Lifecycle in Java?,Remember
LinkedList,Analyze the output of a Java program that uses LinkedList.,Analyze
Constructors,Compare Constructors with a related concept in Java and analyze the differences.,Analyze
Aggregation,Describe how Aggregation works in Java.,Understand
Command Line Arguments,Construct a Java program that combines Command Line Arguments with exception handling to build a robust solution.,Create
JVM Architecture,Build a Java solution that uses JVM Architecture and explain your design choices.,Create
Autoboxing,Distinguish between correct and incorrect uses of Autoboxing in Java with analysis.,Analyze
Runnable Interface,Mention the purpose of Runnable Interface in Java.,Remember
Wrapper Classes,Define Wrapper Classes in Java.,Remember
Character Streams,Analyze the time complexity of operations involving Character Streams in Java.,Analyze
JVM Architecture,What is JVM Architecture in Java?,Remember
Custom Exceptions,What are the components of Custom Exceptions in Java?,Remember
Annotations,Why is Annotations used in Java? Explain.,Understand
Bytecode,Discuss the significance of Bytecode in Java.,Understand
Data Types,Give reasons why Data Types is important in Java.,Understand
Multithreading,Justify whether Multithreading is the best choice for a given Java programming problem.,Evaluate
Multidimensional Arrays,Interpret the behaviour of Multidimensional Arrays in Java with a suitable example.,Understand
Lambda Expressions,Apply Lambda Expressions to write a Java program that takes user input and produces output.,Apply
Constructors,Write a Java code snippet that makes use of Constructors.,Apply
Runnable Interface,Evaluate two different approaches to implementing Runnable Interface in Java and recommend one.,Evaluate
Aggregation,Write the general form of Aggregation in Java.,Remember
TreeMap,Distinguish between correct and incorrect uses of TreeMap in Java with analysis.,Analyze
Nested Classes,Write the general form of Nested Classes in Java.,Remember
Functional Interfaces,Apply the concept of Functional Interfaces to complete a partially written Java program.,Apply
Immutable Class,Design and build a Java module that applies Immutable Class effectively.,Create
Collections Framework,What is Collections Framework in Java?,Remember
Dynamic Binding,Devise a Java program that uses Dynamic Binding to implement a custom feature.,Create
Try-Catch-Finally,State the syntax of Try-Catch-Finally in Java.,Remember
Operators,Justify whether Operators is the best choice for a given Java programming problem.,Evaluate
Aggregation,Mention the purpose of Aggregation in Java.,Remember
Functional Interfaces,Break down the working of Functional Interfaces in Java and analyze each step.,Analyze
Immutable Class,Explain the advantages of using Immutable Class in Java.,Understand
Static Binding,Discuss the significance of Static Binding in Java.,Understand
Composition,"Recommend, with justification, when Composition should be used in Java.",Evaluate
Abstract Classes,Critique a design decision that relies on Abstract Classes in Java.,Evaluate
Method Overloading,Show how Method Overloading can be used in a Java program to perform a task.,Apply
Byte Streams,Analyze a given Java code segment using Byte Streams and explain its behaviour.,Analyze
Stream API,Discuss the significance of Stream API in Java.,Understand
Command Line Arguments,Create a new Java class hierarchy that demonstrates Command Line Arguments.,Create
Deque,Break down the working of Deque in Java and analyze each step.,Analyze
JDK and JRE,Critique a design decision that relies on JDK and JRE in Java.,Evaluate
Var-args,Devise a Java program that uses Var-args to implement a custom feature.,Create
Lambda Expressions,Discuss the significance of Lambda Expressions in Java.,Understand
Inner Classes,Create a new Java class hierarchy that demonstrates Inner Classes.,Create
Methods,Evaluate the effectiveness of using Methods in a Java application.,Evaluate
ArrayList,Critique a design decision that relies on ArrayList in Java.,Evaluate
Default Methods,Construct a Java program that applies Default Methods to process data.,Apply
Command Line Arguments,Implement Command Line Arguments in Java with a working code example.,Apply
Character Streams,Distinguish between correct and incorrect uses of Character Streams in Java with analysis.,Analyze
Functional Interfaces,Argue for or against the use of Functional Interfaces in a given Java scenario.,Evaluate
Ternary Operator,Differentiate between Ternary Operator and a related concept in Java.,Understand
Bytecode,What are the components of Bytecode in Java?,Remember
Classes and Objects,Argue for or against the use of Classes and Objects in a given Java scenario.,Evaluate
Anonymous Classes,Summarize the role of Anonymous Classes in Java programming.,Understand
ClassLoaderBasics,Discuss the significance of ClassLoaderBasics in Java.,Understand
Annotations,Write a Java program to demonstrate Annotations.,Apply
Queue,Differentiate between Queue and a related concept in Java.,Understand
Lambda Expressions,Propose and implement an original Java solution using Lambda Expressions.,Create
Stream API,Judge the suitability of Stream API for a large-scale Java project.,Evaluate
Math Class,Distinguish between correct and incorrect uses of Math Class in Java with analysis.,Analyze
Type Casting,Show how Type Casting can be used in a Java program to perform a task.,Apply
String Pool,Develop a complete Java application that uses String Pool along with other concepts.,Create
Scanner Class,Use Scanner Class to implement a small Java application.,Apply
ClassLoaderBasics,Design and build a Java module that applies ClassLoaderBasics effectively.,Create
Stack,Break down the working of Stack in Java and analyze each step.,Analyze
Final Keyword,List the rules for using Final Keyword in Java.,Remember
Constructor Overloading,Define Constructor Overloading in Java.,Remember
Operators,Assess the impact of Operators on the maintainability of Java code.,Evaluate
Lambda Expressions,Break down the working of Lambda Expressions in Java and analyze each step.,Analyze
Throw and Throws,Classify the different forms of Throw and Throws in Java and explain each.,Understand
Nested Classes,Argue for or against the use of Nested Classes in a given Java scenario.,Evaluate
Multidimensional Arrays,Demonstrate the use of Multidimensional Arrays through a Java program.,Apply
Bitwise Operators,Construct a Java program that applies Bitwise Operators to process data.,Apply
Anonymous Classes,Justify whether Anonymous Classes is the best choice for a given Java programming problem.,Evaluate
this Keyword,Give reasons why this Keyword is important in Java.,Understand
Garbage Collection,What are the components of Garbage Collection in Java?,Remember
Jagged Arrays,Demonstrate the use of Jagged Arrays through a Java program.,Apply
Date and Time API,Design and build a Java module that applies Date and Time API effectively.,Create
Anonymous Classes,Break down the working of Anonymous Classes in Java and analyze each step.,Analyze
Thread Synchronization,Design a Java program that integrates Thread Synchronization to solve a real-world problem.,Create
Is-A Relationship,Explain the working of Is-A Relationship in Java in your own words.,Understand
Bitwise Operators,Use Bitwise Operators to implement a small Java application.,Apply
Stream API,"Using Stream API, write a program to solve a simple problem in Java.",Apply
Loops,Evaluate the effectiveness of using Loops in a Java application.,Evaluate
Collections Framework,Assess the impact of Collections Framework on the maintainability of Java code.,Evaluate
Abstraction,Write a Java code snippet that makes use of Abstraction.,Apply
Custom Exceptions,Interpret the behaviour of Custom Exceptions in Java with a suitable example.,Understand
Classes and Objects,Inspect a Java program using Classes and Objects and identify the logical flow.,Analyze
Bytecode,Assess the impact of Bytecode on the maintainability of Java code.,Evaluate
Collections Framework,Evaluate the correctness and quality of a Java solution that uses Collections Framework.,Evaluate
ClassLoaderBasics,Develop a complete Java application that uses ClassLoaderBasics along with other concepts.,Create
Type Casting,Interpret the behaviour of Type Casting in Java with a suitable example.,Understand
Vector,Implement Vector in Java with a working code example.,Apply
Anonymous Classes,Develop a Java program that uses Anonymous Classes to handle a given scenario.,Apply
Var-args,Show how Var-args can be used in a Java program to perform a task.,Apply
Method Overloading,Create a Java application that uses Method Overloading to manage data for a small system.,Create
Labeled Loops,What is Labeled Loops in Java?,Remember
Throw and Throws,Mention the purpose of Throw and Throws in Java.,Remember
Method Overloading,Design a Java program that integrates Method Overloading to solve a real-world problem.,Create
Arrays,Evaluate the effectiveness of using Arrays in a Java application.,Evaluate
Java Memory Model,Differentiate between Java Memory Model and a related concept in Java.,Understand
Enhanced For Loop,Distinguish between correct and incorrect uses of Enhanced For Loop in Java with analysis.,Analyze
Var-args,Identify the keyword used for Var-args in Java.,Remember
Iterator,Construct a Java program that applies Iterator to process data.,Apply
Deque,Design a Java program that integrates Deque to solve a real-world problem.,Create
Custom Exceptions,Critique a design decision that relies on Custom Exceptions in Java.,Evaluate
Singleton Class,Distinguish between correct and incorrect uses of Singleton Class in Java with analysis.,Analyze
HashMap,Give reasons why HashMap is important in Java.,Understand
Abstract Classes,Explain the working of Abstract Classes in Java in your own words.,Understand
Jagged Arrays,Examine how Jagged Arrays affects the performance of a Java program.,Analyze
Character Streams,Evaluate two different approaches to implementing Character Streams in Java and recommend one.,Evaluate
Exception Handling,Demonstrate the use of Exception Handling through a Java program.,Apply
Java I/O,"Recommend, with justification, when Java I/O should be used in Java.",Evaluate
Inheritance,Discuss the significance of Inheritance in Java.,Understand
super Keyword,Construct a Java program that applies super Keyword to process data.,Apply
Variable Scope,"Recommend, with justification, when Variable Scope should be used in Java.",Evaluate
Loops,Apply Loops to write a Java program that takes user input and produces output.,Apply
Custom Exceptions,Justify whether Custom Exceptions is the best choice for a given Java programming problem.,Evaluate
Control Statements,Compare Control Statements with a related concept in Java and analyze the differences.,Analyze
LinkedList,Create a Java application that uses LinkedList to manage data for a small system.,Create
Runnable Interface,State two characteristics of Runnable Interface in Java.,Remember
Annotations,Build a Java solution that uses Annotations and explain your design choices.,Create
Encapsulation,Design a Java program using Encapsulation to model a real-life entity.,Create
LinkedList,Inspect a Java program using LinkedList and identify the logical flow.,Analyze
Thread Lifecycle,List the rules for using Thread Lifecycle in Java.,Remember
BufferedReader,List the rules for using BufferedReader in Java.,Remember
Inheritance,Show how Inheritance can be used in a Java program to perform a task.,Apply
HashSet,State two characteristics of HashSet in Java.,Remember
StringTokenizer,Formulate a Java mini-project that showcases StringTokenizer.,Create
